order_id|product_id| sku | name | description | qty_ordered | product_type | weight | is_virtual | additional_data | applied_rule_ids | price | base_price | discount_amount | base_discount_amount | row_total | base_row_total | created_at
100000001|1|test prod|test prod||1.00|simple|122.0000|0|||454.0000|454.0000|0.0000|0.0000|454.0000|454.0000|2015-08-19 11:19:04|
100000030|2|1329981348|Dress shoes||1.00|simple|1.5000|0|||0.1089|0.0100|0.0000|0.0000|0.1100|0.1100|2015-09-10 09:16:36|
100000031|2|1329981348|Dress shoes||1.00|simple|1.5000|0|||0.1089|0.0100|0.0000|0.0000|0.1100|0.1100|2015-09-10 09:18:57|
300000004|2|1329981348|Dress shoes||1.00|simple|1.5000|0|||0.0800|0.0100|0.0000|0.0000|0.0800|0.0800|2015-09-10 09:23:38|
300000005|2|1329981348|Dress shoes||1.00|simple|1.5000|0|||0.0800|0.0100|0.0000|0.0000|0.0800|0.0800|2015-09-10 10:17:55|
300000006|2|1329981348|Dress shoes||1.00|simple|1.5000|0|||0.0800|0.0100|0.0000|0.0000|0.0800|0.0800|2015-09-10 12:19:40|
300000007|2|1329981348|Dress shoes||1.00|simple|1.5000|0|||0.0800|0.0100|0.0000|0.0000|0.0800|0.0800|2015-09-10 12:24:03|
300000008|2|1329981348|Dress shoes||1.00|simple|1.5000|0|||0.0800|0.0100|0.0000|0.0000|0.0800|0.0800|2015-09-10 12:51:21|
300000009|2|1329981348|Dress shoes||2.00|simple|1.5000|0|||0.0800|0.0100|0.0000|0.0000|0.1600|0.1600|2015-09-10 13:09:11|
300000010|2|1329981348|Dress shoes||1.00|simple|1.5000|0|||0.0800|0.0100|0.0000|0.0000|0.0800|0.0800|2015-09-10 13:13:22|
400000010|2|1329981348|Dress shoes||1.00|simple|1.5000|0|||0.1089|0.0100|0.0000|0.0000|0.1100|0.1100|2015-09-15 06:57:23|
300000016|2|1329981348|Dress shoes||1.00|simple|1.5000|0|||0.0800|0.0100|0.0000|0.0000|0.0800|0.0800|2015-09-16 06:19:21|
300000017|2|1329981348|Dress shoes||1.00|simple|1.5000|0|||0.0200|0.0100|0.0000|0.0000|0.0200|0.0200|2015-09-16 10:04:21|
100000036|15|test-size-color-product-Blue-Large|test size and color product||1.00|configurable|1.0000|0|||1339.3470|123.0000|0.0000|0.0000|1339.3500|1339.3500|2015-09-17 22:50:45|
100000036|16|test-size-color-product-Blue-Large|test size and color product-Blue-Large||1.00|simple|1.0000|0|||0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-09-17 22:50:45|
100000037|15|test-size-color-product-Blue-Large|test size and color product||2.00|configurable|1.0000|0|||1339.3470|123.0000|0.0000|0.0000|2678.7000|2678.7000|2015-09-17 22:55:21|
100000037|16|test-size-color-product-Blue-Large|test size and color product-Blue-Large||2.00|simple|1.0000|0|||0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-09-17 22:55:21|
300000020|17|test product 0918|test prod 0918||1.00|simple|1.5000|0|||200.0000|100.0000|0.0000|0.0000|200.0000|200.0000|2015-09-21 02:19:28|
300000021|17|test product 0918|test prod 0918||1.00|simple|1.5000|0|||200.0000|100.0000|0.0000|0.0000|200.0000|200.0000|2015-09-21 06:00:29|
300000027|29|auto-sim-1|Automobile simple test product 1||1.00|simple|2.0000|0|||2.0000|1.0000|0.0000|0.0000|2.0000|2.0000|2015-09-30 02:26:27|
